txn_id,period,txn_date,account_code,entity,department,region,segment,customer_id,customer_name,vendor,amount,memo
TXN-2026-08-0003,2026-08,2026-08-10,4000,Money Ops US,Sales,EMEA,Enterprise,ENT-03,Umbrella Group,,73000.0,Subscription revenue
TXN-2026-08-0004,2026-08,2026-08-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-04,Stark Industries,,73000.0,Subscription revenue
TXN-2026-08-0005,2026-08,2026-08-10,4000,Money Ops US,Sales,AMER,Enterprise,ENT-05,Wayne Enterprises,,65000.0,Subscription revenue
TXN-2026-08-0006,2026-08,2026-08-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-01,Acme Mid,,30624.64,Subscription revenue
TXN-2026-08-0007,2026-08,2026-08-12,4010,Money Ops US,Sales,AMER,Mid-Market,MID-02,Northwind Mid,,33584.64,Subscription revenue
TXN-2026-08-0008,2026-08,2026-08-12,4010,Money Ops US,Sales,EMEA,Mid-Market,MID-03,Contoso Mid,,28543.76,Subscription revenue
TXN-2026-08-0009,2026-08,2026-08-12,4010,Money Ops US,Sales,EMEA,Mid-Market,MID-05,Soylent Mid,,29441.33,Subscription revenue
TXN-2026-08-0010,2026-08,2026-08-14,4020,Money Ops US,Sales,AMER,SMB,SMB-POOL,SMB Pool (US),,57816.88,Subscription revenue - SMB pool
TXN-2026-08-0011,2026-08,2026-08-14,4020,Money Ops EU,Sales,EMEA,SMB,SMB-POOL,SMB Pool (EU),,25531.32,Subscription revenue - SMB pool
TXN-2026-08-0012,2026-08,2026-08-05,5000,Money Ops US,Engineering,AMER,,,,NimbusHost Cloud,41440.21,Production hosting - base usage
TXN-2026-08-0013,2026-08,2026-08-22,5000,Money Ops US,Engineering,AMER,,,,CloudBeam Compute,15000.0,Elastic compute burst - usage overage
TXN-2026-08-0014,2026-08,2026-08-08,6000,Money Ops US,Sales & Marketing,AMER,,,,Ad Platform Co,51269.47,Digital advertising spend
TXN-2026-08-0015,2026-08,2026-08-16,6000,Money Ops US,Sales & Marketing,AMER,,,,Field Events LLC,23215.66,Regional field events
TXN-2026-08-0016,2026-08,2026-08-20,6000,Money Ops US,Sales & Marketing,AMER,,,,TechConf Expo,25000.0,Annual sponsorship - TechConf Expo
TXN-2026-08-0017,2026-08,2026-08-09,6010,Money Ops US,G&A,AMER,,,,Corporate Services Inc,51540.98,Corporate overhead allocation
TXN-2026-08-0018,2026-08,2026-08-01,6020,Money Ops US,R&D,AMER,,,,Internal Payroll Allocation,105964.02,Engineering payroll allocation
TXN-2026-08-0019,2026-08,2026-08-18,6100,Money Ops US,Sales,AMER,,,,Corporate Travel Partners,14732.35,T&E - travel partners
